src,dst,length_m,way_id
990876600,1513010690,13.0,83587776
1513010690,973472540,13.0,83587776
973472540,973473019,13.4,83587776
973473019,1513010687,13.4,83587776
1513010687,973472906,13.4,83587776
973472906,3377601240,4.0,83587776
3377601240,3337526641,13.9,83587776
3337526641,973473321,8.6,83587776
973473321,3337526642,15.3,83587776
3337526642,973472488,33.7,83587776
973472488,1513010684,7.1,83587776
1513010684,973472756,14.7,83587776
973473326,3383264662,57.8,83587777
3383264662,973473326,57.8,83587777
3383264662,3383264691,58.3,83587777
3383264691,3383264662,58.3,83587777
3383264691,973472759,56.0,83587777
973472759,3383264691,56.0,83587777
973472759,7954685733,15.5,83587777
7954685733,973472759,15.5,83587777
7954685733,3379946283,147.0,83587777
