id,lat,lon
12277138840,26.5686857,37.9333796
12277138850,26.5692527,37.9349209
12277138851,26.5689287,37.9351215
12277138852,26.5694727,37.9341747
12277138853,26.5690336,37.9344026
12277138854,26.5700822,37.9334612
12277138856,26.5662639,37.9343694
12277138857,26.5656769,37.9337998
12277138858,26.5652542,37.9328183
12277138859,26.5652597,37.9329832
12277138860,26.5659612,37.9338274
546803173,26.567746,37.9421103
546803185,26.5674149,37.9398975
546803204,26.5679978,37.9394925
546803291,26.5709006,37.9414987
546803383,26.5653544,37.9437451
546803399,26.5663674,37.9408481
546803444,26.5702694,37.9452763
1993089533,26.5652324,37.9452098
3337526653,26.5714421,37.9446952
3337526656,26.5682667,37.9453275
3337526658,26.5700422,37.944974
3337526659,26.5703728,37.9450263
3376141244,26.5670047,37.940163
3376141245,26.5666571,37.9404514
3376141246,26.5660355,37.941594
3376141247,26.56523,37.9444722
3376141251,26.5708769,37.944923
3376141252,26.570914,37.9451475
3376141253,26.5707394,37.9449512
3376141254,26.5707801,37.9451742
3376141268,26.569367,37.9416508
3376141269,26.5693887,37.9417852
3376141270,26.569907,37.9450009
3376141272,26.5677261,37.9419779
3376141273,26.5695029,37.9416237
3376141274,26.5695247,37.9417593
3376141284,26.567379,37.9397555
3376141285,26.5669591,37.9400466
3376141286,26.5665946,37.9403341
3376141287,26.5663733,37.940607
3376141288,26.5661618,37.9409345
3376141289,26.5659893,37.9413639
3376141290,26.5653254,37.9434124
3376141291,26.5652115,37.9437909
3376141292,26.5651399,37.9441547
3376142093,26.5650943,37.9445841
3376142094,26.5650943,37.9449662
3376142096,26.5684022,37.9453005
3376142097,26.5678702,37.9420857
3376142098,26.5675156,37.9398275
3376142099,26.5678484,37.9419535
3376142131,26.5688613,37.9452091
3376255999,26.5709321,37.9452564
3376256000,26.5707996,37.9452832
3376770975,26.5664943,37.9389284
3376773759,26.5675127,37.9405513
3376773760,26.5671679,37.9407819
3376773761,26.5669178,37.9410402
3376773762,26.5667057,37.9413481
3376773763,26.5666139,37.9415817
3376773764,26.5665696,37.9418082
3376773765,26.5670266,37.9409278
3376773766,26.5674784,37.9437388
3376773767,26.5678481,37.9427414
3376773768,26.5673353,37.9428485
3376773769,26.5676427,37.9437017
3376773770,26.5669581,37.9438559
3376773771,26.5671525,37.9417113
3376773772,26.5659213,37.9419546
3376773773,26.5672386,37.9422469
3376773774,26.5657332,37.9425487
3376773775,26.5667242,37.94235
